firm_id,firm_name,n_trials,first_approval_date,n_approvals
1,101 Therapeutics,4,NA,0
2,"10xBio, LLC",3,NA,0
3,11 Heath and Technologies Limited,1,NA,0
4,"1200 Pharma, LLC",2,NA,0
6,"1800 Contacts, Inc.",1,NA,0
7,1Globe Health Institute LLC,3,NA,0
9,1QB Information Technologies Inc.,2,NA,0
10,"1ST Biotherapeutics, Inc.",4,NA,0
12,20/10 Perfect Vision,1,NA,0
13,20Lighter,2,NA,0
14,22EON,1,NA,0
15,"22nd Century Group, Inc.",7,NA,0
17,"23andMe, Inc.",5,NA,0
18,270Surgical,2,NA,0
19,2A Pharma AB,1,NA,0
20,2C Tech Corp,2,NA,0
21,2gether,2,NA,0
22,2seventy bio,2,NA,0
23,3 Waves Wellness,1,NA,0
24,3-C Institute for Social Development,11,NA,0
26,"34 Lives, PBC",1,NA,0
27,"3D Medicines (Sichuan) Co., Ltd.",18,NA,0
30,3D Metal Printing Ltd,1,NA,0
32,3DBio Therapeutics,1,NA,0
33,3E Therapeutics Corporation,1,NA,0
34,3EO Health,2,NA,0
35,3ive Labs,2,NA,0
36,3M,93,1956-03-09,19
37,3NT Medical Ltd.,2,NA,0
38,3Spine,2,NA,0
39,40FY,3,NA,0
40,41Hemiverse AG,1,NA,0
41,41medical AG,1,NA,0
42,480 Biomedical,2,NA,0
43,"4C Medical Technologies, Inc.",1,NA,0
45,4D Molecular Therapeutics,19,NA,0
46,"4Life Research, LLC",6,NA,0
47,4Living Biotech,1,NA,0
48,4Moving Biotech,1,NA,0
49,4SC AG,13,NA,0
50,4Tech Cardio Ltd.,3,NA,0
51,52 North Health Ltd,2,1973-01-26,14
52,57GGardner,1,NA,0
53,"5i Sciences, Inc.",1,NA,0
54,60 Degrees Pharmaceuticals LLC,3,2018-08-08,1
55,60P Australia Pty Ltd,1,NA,0
56,6Degrees LTD,1,NA,0
57,"7 Hills Pharma, LLC",1,NA,0
58,7D Surgical Inc.,1,NA,0
59,7TM Pharma A/S,1,NA,0
60,"880 Medical, LLC",1,NA,0
61,"89bio, Inc.",5,NA,0
62,"9 Meters Biopharma, Inc.",10,NA,0
63,906 CMVI Holdings,1,NA,0
64,9305-9954 Quebec Inc,2,NA,0
65,9zest. Inc.,1,NA,0
66,A-Mansia Biotech S.A.,2,NA,0
67,"A-Spine Asia Co., Ltd.",1,NA,0
68,A. Menarini Industrie Farmaceutiche Riunite S.r.l.,2,NA,0
69,A. Vogel AG,14,NA,0
70,A.M.I. Agency for Medical Innovations GmbH,1,NA,0
71,A.Menarini Asia-Pacific Holdings Pte Ltd,4,NA,0
73,A&G Pharmaceutical Inc.,1,NA,0
75,a2 Milk Company Ltd.,13,NA,0
77,A2A Pharmaceuticals Inc.,1,NA,0
78,"Aadi Bioscience, Inc.",11,2021-11-22,1
79,aap Implantate AG,1,NA,0
81,"Aardvark Therapeutics, Inc.",5,NA,0
82,Aaren Scientific Inc.,1,NA,0
83,Aatru Medical LLC,1,NA,0
85,"AB Biotics, SA",22,NA,0
86,Cell Medica Ltd,9,NA,0
87,AB Science,38,NA,0
88,AB-CT - Advanced Breast-CT GmbH,1,NA,0
89,AB2 Bio Ltd.,3,NA,0
90,"Abalonex, LLC",1,NA,0
92,Abbell AB,1,NA,0
93,"Abbisko Therapeutics Co, Ltd",17,NA,0
94,Abbott Medical Devices,1102,1959-09-23,504
105,Abbott Rapid Diagnostics Jena GmbH,2,NA,0
106,Abbott Rapid Dx,6,NA,0
108,Abbott Transfusion Medicine,1,NA,0
109,AbbVie,728,1944-07-31,65
110,"AbbVie (prior sponsor, Abbott)",223,NA,0
111,Abcentra,1,NA,0
112,AbClon,1,NA,0
113,"Abcuro, Inc.",3,NA,0
115,Abdi İbrahim Otsuka,1,NA,0
116,"Abela Pharmaceuticals, Inc.",1,NA,0
117,"AbelZeta, Inc.",1,NA,0
118,"Abeona Therapeutics, Inc",9,NA,0
119,ABEYE,1,NA,0
120,"Abfero Pharmaceuticals, Inc",1,NA,0
121,Abgenix,3,NA,0
122,AbGenomics B.V Taiwan Branch,7,NA,0
123,Abide Therapeutics,6,NA,0
124,ABIGO Medical AB,1,NA,0
125,Abilion Medical Systems AB,1,NA,0
126,AbiliTech Medical Inc.,3,NA,0
127,Ability Pharmaceuticals SL,4,NA,0
128,"Ability Prosthetics and Orthotics, Inc.",1,NA,0
129,Abiomed Inc.,28,NA,0
131,Abionic SA,11,NA,0
132,Abivax S.A.,21,NA,0
133,ABK Biomedical,2,NA,0
134,"ABL Bio, Inc.",5,NA,0
135,"Ablacon, Inc.",4,NA,0
137,ABLE Human Motion S.L.,5,NA,0
138,Abliva AB,3,NA,0
139,Ably Medical AS,1,NA,0
140,"Ablynx, a Sanofi company",25,2019-02-06,1
142,ABM Therapeutics Corporation,4,NA,0
144,Abnoba Gmbh,4,NA,0
145,"ABO Holdings, Inc.",1,NA,0
146,Aboca Spa Societa' Agricola,13,NA,0
147,"AboutSkin Dermatology and DermSurgery, PC",1,NA,0
148,"Abrexa Pharmaceuticals, Inc.",1,NA,0
149,AbSolutions Med Inc.,2,NA,0
150,Abt Associates,6,NA,0
151,Abvance Therapeutics,1,NA,0
152,AbViro LLC,1,NA,0
153,ABX advanced biochemical compounds GmbH,3,NA,0
154,"Abyrx, Inc.",1,NA,0
155,Abyss Ingredients,3,NA,0
156,AC Immune SA,5,NA,0
157,Acacia Pharma Ltd,18,2020-02-26,2
158,AcadeMab Biomedical Inc.,1,NA,0
159,Academic Thoracic Oncology Medical Investigators Consortium,4,NA,0
160,Academic Web Pages,1,NA,0
161,Academy for Educational Development,1,NA,0
162,"Academy Military Medical Science, China",2,NA,0
163,ACADIA Pharmaceuticals Inc.,37,2016-04-29,2
164,Acandis GmbH,7,NA,0
165,Acanthas Pharma Inc,1,NA,0
166,Acarix,4,NA,0
167,Acasti Pharma Inc.,8,NA,0
168,Advanced Accelerator Applications,22,NA,0
169,"Acceleron Pharma, Inc., a wholly-owned subsidiary of Merck & Co., Inc., Rahway, NJ USA",27,NA,0
170,Accendatech USA Inc.,1,NA,0
171,Accentia Biopharmaceuticals,1,NA,0
172,Accenture,6,NA,0
