ctdotgov_name,corpus_name,firm_id,firm_name,n_trials
101 Therapeutics,101 Therapeutics,1,101 Therapeutics,3
"10xBio, LLC","10xBio, LLC",2,"10xBio, LLC",3
11 Heath and Technologies Limited,11 Heath and Technologies Limited,3,11 Heath and Technologies Limited,1
"1200 Pharma, LLC","1200 Pharma, LLC",4,"1200 Pharma, LLC",2
16 Bit Inc.,16 Bit Inc.,2152,16 Bit Inc.,1
"1800 Contacts, Inc.","1800 Contacts, Inc.",6,"1800 Contacts, Inc.",1
"1Globe Biomedical Co., Ltd.","1Globe Biomedical Co., Ltd.",7,1Globe Health Institute LLC,1
1Globe Health Institute LLC,1Globe Health Institute LLC,7,1Globe Health Institute LLC,2
1QB Information Technologies Inc.,1QB Information Technologies Inc.,9,1QB Information Technologies Inc.,2
"1ST Biotherapeutics, Inc.","1ST Biotherapeutics, Inc.",10,"1ST Biotherapeutics, Inc.",3
1st SurgiConcept,1st SurgiConcept,10,"1ST Biotherapeutics, Inc.",1
20/10 Perfect Vision,20/10 Perfect Vision,12,20/10 Perfect Vision,1
20Lighter,20Lighter,13,20Lighter,2
22EON,22EON,14,22EON,1
"22nd Century Group, Inc.","22nd Century Group, Inc.",15,"22nd Century Group, Inc.",3
"22nd Century Limited, LLC","22nd Century Limited, LLC",15,"22nd Century Group, Inc.",1
"23andMe, Inc.","23andMe, Inc.",17,"23andMe, Inc.",5
270Surgical,270Surgical,18,270Surgical,2
2A Pharma AB,2A Pharma AB,19,2A Pharma AB,1
2C Tech Corp,2C Tech Corp,20,2C Tech Corp,2
2gether,2gether,21,2gether,1
2seventy bio,2seventy bio,22,2seventy bio,2
3 Waves Wellness,3 Waves Wellness,23,3 Waves Wellness,1
3-C Institute for Social Development,3-C Institute for Social Development,24,3-C Institute for Social Development,11
3-D Matrix Europe SAS,3-D Matrix Europe SAS,7354,"Matrix Biomed, Inc.",3
"34 Lives, PBC","34 Lives, PBC",26,"34 Lives, PBC",1
3D Medicines,3D Medicines,27,"3D Medicines (Sichuan) Co., Ltd.",3
"3D Medicines (Beijing) Co., Ltd.","3D Medicines (Beijing) Co., Ltd.",27,"3D Medicines (Sichuan) Co., Ltd.",3
"3D Medicines (Sichuan) Co., Ltd.","3D Medicines (Sichuan) Co., Ltd.",27,"3D Medicines (Sichuan) Co., Ltd.",11
3D Metal Printing Ltd,3D Metal Printing Ltd,30,3D Metal Printing Ltd,1
"3D Therapy, LLC","3D Therapy, LLC",27,"3D Medicines (Sichuan) Co., Ltd.",1
3DBio Therapeutics,3DBio Therapeutics,32,3DBio Therapeutics,1
3E Therapeutics Corporation,3E Therapeutics Corporation,33,3E Therapeutics Corporation,1
3EO Health,3EO Health,34,3EO Health,2
3M,3M,36,3M,93
3NT Medical Ltd.,3NT Medical Ltd.,37,3NT Medical Ltd.,2
3Spine,3Spine,38,3Spine,2
3ive Labs,3ive Labs,35,3ive Labs,2
40FY,40FY,39,40FY,3
